     60 212.122.173.146     Великотърновски университет
     44 212.122.185.40      Джурово
     35 212.122.186.124     Процесуално представителство на Република България пред Европейския съд по правата на човека
     32 212.122.185.67      Свиленград
     32 212.122.182.240     Извор (Област Перник)
     31 212.122.183.194     Беседа:Партизанско движение в България
     29 212.122.164.202     Сливка (село)
     29 212.122.161.208     Бегуновци
     25 212.122.182.124     Параскев Стоянов
     24 212.122.165.132     Симеоново
     23 212.122.161.73      Георги Владимиров (историк)
     21 212.122.175.214     Байлово
     21 212.122.161.118     Мадона (певица)
     20 212.122.188.94      Градец (Софийска област)
     19 212.122.170.130     Братаница
     19 212.122.164.204     Кулина вода
     19 212.122.161.230     Петър Дънов
     18 84.22.10.6          Потребител беседа:Алиса Селезньова
     18 212.122.161.85      Студен извор
     16 212.122.165.34      Буканиер
     15 84.22.10.75         Големите шпионки
     15 212.122.184.28      Тишевица
     15 212.122.161.217     Црънча (Област Смолян)
     15 193.25.162.8        Янтра 2000 (Габрово)
     14 212.122.184.140     ПФК Ботев (Пловдив)
     14 212.122.164.204     Аканджиево
     14 212.122.164.1       Симеон Дянков
     14 212.122.161.156     Кирчево
     13 212.122.186.124     Берковски
     13 212.122.182.161     Международни стабилизиращи сили в Афганистан
     13 212.122.173.146     Пловдивски университет
     13 212.122.164.202     Асеновград
     12 89.252.196.143      Динозаври
     12 84.22.10.6          Босна и Херцеговина
     12 212.122.184.160     Шарл дьо Гол
     12 212.122.183.131     Попово
     12 212.122.175.166     ПФК Ботев (Пловдив)
     12 193.25.162.8        Горнослав
     11 212.122.187.221     Бяла (Област Русе)
     11 212.122.182.33      Потребител беседа:Евгени Алексиев
     11 212.122.161.145     ПФК Ботев (Пловдив)
     11 193.25.162.8        Горнослав
     10 84.22.10.50         Радомирци
     10 83.228.89.2         Уикипедия:Страници за изтриване/Златина Савова
     10 212.122.188.210     Кирчево
     10 212.122.183.131     Опака
     10 212.122.182.33      Овчи кладенец
     10 212.122.164.204     Пламен Орешарски
     10 193.192.57.60       Иван Ерулски
      9 84.22.10.6          Борис I
      9 84.22.10.50         Ракита (Област Плевен)
      9 212.122.184.140     Венецуела
      9 212.122.176.58      Георги Владимиров (историк)
      9 212.122.175.182     Иван Клинчаров
      9 212.122.175.182     Димитър Цолов
      9 212.122.175.130     Народна република България
      9 212.122.166.51      Личности (Сливен)
      9 212.122.166.248     Американска война за независимост
      9 212.122.164.196     Гъсто множество
      9 212.122.161.73      Росица (Област Добрич)
      8 84.22.10.6          Уикипедия:Заявки към администраторите/2013/12
      8 212.122.183.194     Партизанско движение в България
      8 212.122.182.33      Православна църква
      8 212.122.182.33      Димитър Цанчев
      8 212.122.176.133     Перник
      8 212.122.164.1       Калугерово (Софийска област)
      7 84.22.10.6          София
      7 84.22.10.6          Потребител:The TV Boy/Архив
      7 84.22.10.6          ОФК Поморие (Поморие)
      7 84.22.10.50         Стенето
      7 212.122.188.91      Капетинги
      7 212.122.186.124     Михайлово (Област Стара Загора)
      7 212.122.184.140     ПФК Ботев (Пловдив)
      7 212.122.184.140     Мараша (Пловдив)
      7 212.122.183.194     Гоце Делчев
      7 212.122.182.33      Станислав Даскалов
      7 212.122.176.58      Храм-паметник „Свети Александър Невски“
      7 212.122.175.182     Антон Каравелов
      7 212.122.166.248     Шейновска битка
      7 212.122.166.131     Осенец
      7 212.122.161.145     ПФК Левски (София)
      7 195.110.24.251      Горска поляна
      7 193.25.162.8        Царевец (Област Враца)
      7 193.25.162.8        ФК Янтра (Габрово)
      7 193.192.56.26       Винарово (Област Видин)
      7 193.192.56.26       Бъзовец (Област Русе)
      6 84.22.10.6          Димитър Цанчев
      6 83.228.89.40        Малък ястреб
      6 83.228.89.2         Стефан Караджа (квартал)
      6 83.228.89.2         Потребител:Юпи
      6 212.122.186.124     Министерство на правосъдието на България
      6 212.122.186.124     Европейски съд по правата на човека
      6 212.122.185.67      Европейски патент
      6 212.122.184.161     Битка при Сталинград
      6 212.122.184.160     Юлисис Грант
      6 212.122.184.140     Европейско първенство по футбол 2008
      6 212.122.182.124     Курорт
      6 212.122.175.202     Паисий (село)
      6 212.122.175.130     Перник
      6 212.122.173.146     Юридически факултет, Великотърновски университет
      6 212.122.166.248     Пол Пот
      6 212.122.166.248     Марко Недялков
      6 212.122.166.248     Лабрадор ретривър
      6 212.122.166.132     Локорско
      6 212.122.165.34      Силистра
      6 212.122.164.199     Иван Михайлов (генерал)
      6 212.122.161.49      Кортен
      6 212.122.161.145     ПФК Черно море (Варна)
      6 212.122.161.108     Народно творчество
      6 195.110.24.238      Гагово
      6 193.25.162.8        Стоян Стоянов (летец)
      6 193.192.56.26       Долни Лом
      6 193.192.56.26       Волейбол
      5 84.22.10.125        Живко Бояджиев
      5 83.228.89.2         Хаджи Димитър (жилищен комплекс)
      5 83.228.89.2         Супершоу Невада
      5 83.228.89.2         Потребител беседа:Daggerstab/Архив 14 ноември 2007 - 24 май 2008
      5 212.122.188.91      Петър Добрев
      5 212.122.186.124     Конституция
      5 212.122.184.160     Франклин Делано Рузвелт
      5 212.122.184.160     Ейбрахам Линкълн
      5 212.122.183.1       Царски орел
      5 212.122.183.1       Гранични контролно-пропускателни пунктове на България
      5 212.122.182.33      Категория:Български дипломати
      5 212.122.182.33      Алгоритъм
      5 212.122.182.134     Борис Вардев
      5 212.122.176.133     Панагюрище
      5 212.122.175.166     ПФК Ботев (Пловдив)
      5 212.122.175.10      Вътрешен одит
      5 212.122.173.146     Политология
      5 212.122.166.248     Вашко да Гама
      5 212.122.165.233     Ганеша
      5 212.122.164.204     Европейски структурни фондове
      5 212.122.164.202     Манолич
      5 212.122.161.99      Георги Генджев
      5 212.122.161.247     Червена армия
      5 212.122.161.227     Патрис Лумумба
      5 212.122.161.225     Адриан Лазаровски
      5 195.110.24.236      Списък на природни резервати и национални паркове в България
      5 195.110.24.236      Самардала
      5 195.110.24.236      Кортен
      5 193.25.162.8        Телиш
      5 193.25.162.8        Борис Елцин
      5 193.192.57.66       Лупа
      5 193.192.57.53       Франция
      5 193.192.57.118      Сърце
      5 193.192.56.26       Славщица
      5 193.192.56.26       Кобалт
      4 89.252.196.6        Томаш Бердих
      4 89.252.196.6        Грийн Дей
      4 89.252.196.143      Влечуги
      4 84.22.10.6          Уикипедия:Заявки към администраторите/2012/41
      4 84.22.10.6          Тервел
      4 84.22.10.6          Саудитска Арабия
      4 84.22.10.6          Пресиян
      4 84.22.10.6          Потребител беседа:PetaRZ/Архив 4
      4 84.22.10.6          Охридска архиепископия
      4 84.22.10.6          Македонистика
      4 84.22.10.6          Калоян
      4 84.22.10.6          Българска азбука
      4 84.22.10.6          Боянска църква
      4 84.22.10.50         Садовец
      4 84.22.10.50         Летница
      4 83.228.89.2         Отегчение
      4 212.122.188.94      Костинброд
      4 212.122.188.210     Чифлик (Област Ловеч)
      4 212.122.185.67      Юръп
      4 212.122.185.40      Електронно управление
      4 212.122.185.200     Стъклен дом
      4 212.122.184.160     Хайнц Гудериан
      4 212.122.184.140     Сахат тепе
      4 212.122.184.140     Пловдивчани
      4 212.122.184.140     Пловдивска мъжка гимназия
      4 212.122.184.140     Пловдив
      4 212.122.184.140     Марково тепе
      4 212.122.184.140     Козма Апостолидис
      4 212.122.184.140     Захарна фабрика (Пловдив)
      4 212.122.184.140     Джендем тепе
      4 212.122.184.140     Бунарджик
      4 212.122.183.194     Шампиони на Германия по футбол
      4 212.122.183.131     Св. св. Кирил и Методий (орден)
      4 212.122.183.131     Костинброд
      4 212.122.182.33      Македонизъм
      4 212.122.182.33      Богровски
      4 212.122.182.161     Село
      4 212.122.182.161     Негушево
      4 212.122.182.134     Гоцеделчевци
      4 212.122.182.124     Селище
      4 212.122.182.122     Прабългари
      4 212.122.182.122     Дрен (Област Перник)
      4 212.122.176.58      София
      4 212.122.176.58      Света София (София)
      4 212.122.176.58      Росица (Област Добрич)
      4 212.122.176.58      Врана (дворец)
      4 212.122.176.58      Вежди Рашидов
      4 212.122.175.98      Георги Чиликов
      4 212.122.175.254     Долно Сахране
      4 212.122.175.214     Мадона (певица)
      4 212.122.175.182     Съюз на българските писатели
      4 212.122.175.182     Петко Каравелов
      4 212.122.175.182     Димитър Добрев (икономист)
      4 212.122.175.182     Viva
      4 212.122.175.182     20 юли
      4 212.122.175.130     Литаково
      4 212.122.173.146     ФК Септември 98
      4 212.122.173.146     Медицински университет - Пловдив
      4 212.122.166.51      Сърна
      4 212.122.166.51      Калофер Русев
      4 212.122.166.248     Блокада на Ленинград
      4 212.122.166.132     Fisherandom
      4 212.122.165.34      Тортуга
      4 212.122.165.34      Гара Орешец
      4 212.122.165.34      Буканиер (пояснение)
      4 212.122.164.204     Равнище
      4 212.122.164.204     Георги Караславов
      4 212.122.164.168     Автомагистрали в България
      4 212.122.161.93      Васил Берон
      4 212.122.161.65      Неандерталец
      4 212.122.161.227     Хисаря
      4 212.122.161.227     Брацигово
      4 212.122.161.217     Помаци
      4 212.122.161.209     Боснек
      4 212.122.161.192     Мърчаево
      4 212.122.161.145     Христо Ботев (стадион, Пловдив)
      4 212.122.161.145     ПФК Спартак (Пловдив)
      4 212.122.161.145     ПФК Славия (София)
      4 212.122.161.145     ПФК Берое (Стара Загора)
      4 212.122.161.145     Пловдив
      4 212.122.161.145     Международен панаир Пловдив
      4 212.122.161.145     Купа на Съветската армия
      4 212.122.161.119     Сидхарта Гаутама Буда
      4 212.122.161.108     ПФК ЦСКА (София)
      4 212.122.161.102     Нова генерация
      4 195.110.24.251      Сапарева баня
      4 195.110.24.251      Полет AF447 на Ер Франс
      4 195.110.24.240      Първомайци
      4 193.25.162.8        Герои (сериал)
      4 193.192.57.76       Мерилин Менсън
      4 193.192.57.76       Еднаквост
      4 193.192.57.72       Златни пясъци (природен парк)
      4 193.192.57.55       Лупа
      4 193.192.57.55       Беседа:Крум
      4 193.192.57.54       Иван Ерулски
      4 193.192.57.52       Иван Ерулски
      4 193.192.57.51       Сектор за начално зареждане
      4 193.192.56.2        Мартиново
      4 193.192.56.2        Жеглица
      4 193.192.56.2        Априлско въстание
      4 193.192.56.26       Чалга
      4 193.192.56.26       Церовище
      4 193.192.56.26       Полето
      4 193.192.56.26       Категория:Български борци
      4 193.192.56.26       Каспичан
      4 193.192.56.26       Бараково
      3 89.252.196.6        Back to Bedlam
      3 89.252.196.64       Карлово
      3 89.252.196.143      Автоантоним
      3 89.252.196.143      Travian
      3 84.22.10.6          Потребител беседа:Евгени Алексиев
      3 84.22.10.6          Потребител беседа:Евгени Алексиев
      3 84.22.10.6          Мем
      3 84.22.10.6          Машина на Тюринг
      3 84.22.10.6          Дупница
      3 84.22.10.50         Беглеж
      3 83.228.89.2         Уикипедия:Страници за изтриване/Pisnami.net
      3 83.228.89.2         Сухата река (жилищен комплекс)
      3 83.228.89.2         Сити Юнивърсити, Сиатъл
      3 83.228.89.2         Светлина АД
      3 212.122.188.91      Балкански полуостров
      3 212.122.186.66      Бобораци
      3 212.122.186.124     Фландрия (графство)
      3 212.122.186.124     Иван Вълков
      3 212.122.185.67      Борис I
      3 212.122.185.40      Гаудия вайшнавизъм
      3 212.122.185.200     Ракита (Област Плевен)
      3 212.122.184.173     Непал
      3 212.122.184.160     Никифор I
      3 212.122.184.160     Алфред Нобел
      3 212.122.184.140     Шаблон:Тепета в Пловдив
      3 212.122.184.140     ФК Велбъжд 1919
      3 212.122.184.140     Списък на хулигански организации във футбола
      3 212.122.184.140     Първенство на България по футбол
      3 212.122.184.140     ПФК Спартак (Пловдив)
      3 212.122.184.140     Никола Щерев
      3 212.122.184.140     22 април
      3 212.122.183.1       Яребковица
      3 212.122.183.1       Юлиан Попов
      3 212.122.183.1       Кръстат орел
      3 212.122.183.1       Каменичка Скакавица
      3 212.122.183.194     Павликянство
      3 212.122.183.194     Охрид
      3 212.122.183.194     Иван Шишман (художник)
      3 212.122.183.194     Даниел Вълчев
      3 212.122.183.194     Георги Баласчев
      3 212.122.182.33      С-300
      3 212.122.182.33      Левски (град)
      3 212.122.182.33      Карловицки договор
      3 212.122.182.33      Естония
      3 212.122.182.33      Дипломатически мисии на България
      3 212.122.182.33      Габаре
      3 212.122.182.33      Вътрешна македоно-одринска революционна организация
      3 212.122.182.33      Българска армия
      3 212.122.182.33      Берлински договор
      3 212.122.182.33      АЕЦ „Козлодуй“
      3 212.122.182.134     Мокреш (Област Монтана)
      3 212.122.182.134     Джеймс Джойс
      3 212.122.176.58      Централни софийски хали
      3 212.122.176.133     Чирпан
      3 212.122.175.98      Конвенция от 8 септември 1976 година за издаване на многоезични извлечения на актове за гражданско състояние
      3 212.122.175.70      Област Хасково
      3 212.122.175.222     Осогово
      3 212.122.175.194     Бридж-белот
      3 212.122.175.182     Христо Ботев
      3 212.122.175.182     Международна женска лига за мир и свобода
      3 212.122.175.182     Любен Каравелов
      3 212.122.175.182     Иван Васильов
      3 212.122.175.182     Главна инспекция за държавен технически контрол
      3 212.122.175.166     Южен (район на Пловдив)
      3 212.122.175.166     ПФК Спартак (Пловдив)
      3 212.122.175.166     Пловдив
      3 212.122.175.166     Област Пловдив
      3 212.122.175.130     Множествена склероза
      3 212.122.172.25      Че Гевара
      3 212.122.166.51      България
      3 212.122.166.248     Титаник
      3 212.122.166.248     Руал Амундсен
      3 212.122.166.248     Ил-2
      3 212.122.166.248     Гражданска защита
      3 212.122.166.248     Бургаски залив
      3 212.122.166.248     Битка при Одрин (1205)
      3 212.122.166.248     Битка при Ке Сан
      3 212.122.166.246     Глоговица
      3 212.122.166.144     Ключ (село)
      3 212.122.166.132     Яхиново
      3 212.122.166.132     Осенец
      3 212.122.166.132     Еловица (Област Перник)
      3 212.122.166.132     Базедова болест
      3 212.122.166.131     Томас Джеферсън
      3 212.122.166.131     Осенец
      3 212.122.166.131     Базедова болест
      3 212.122.165.34      Митница
      3 212.122.165.34      Кондолово
      3 212.122.165.34      Доброславци
